Table No.,Team Name
1,BookWorm
2,Goophy Gophers
3,PixelPilots
4,Solvators
5,Gravity
6,<insert_team_name>
7,WasserLuft
8,Team Zero
9,404_FOUND
10,Current Solutions
11,Empathetic Technocrats
12,Error 404
13,Pandas
14,UniTech
15,DOMINATORS
16,Gotilo
17,Punishers
18,RockTech
19,Technical Aspirants
20,Team Marshmallow
21,Team Errorists
22,Code by MoonLight
23,Never gonna give you up
24,Unanimous
25,X
26,CodeCrafters
27,Maelstrom
28,Aditya Kumar Team
29,Last Place
30,5 bits
31,Team pere
32,SANKALP SAGAR
33,Fixter
34,"Help Desk
(NOT FOR PARTICIPANTS)"
35,RenewedDosa
36,MomentumX.
37,Soaring Coders
38,Campus Detectives
39,BUSINESS WOMEN
40,DormDocCrusaders
41,Team Proxy
42,Infinite Innovators Inc. (III)
43,Yatharth
44,Access Denied
45,KungfuPanda
46,Team Quad
47,BeBop
48,The Annomalies
49,PILLI
50,gilehri
51,Inkie Pinkie Ponkie
52,Innov8
53,ironman
54,Thomas & Friends
55,WHAT_IF
56,HACKER-HERMIONES
57,soulSync
58,Team Burritos
59,Kiosk?
60,bigbrain404
61,Hackstreet Boys
62,Shockwavebrigade
63,Apni
